Date,Open,High,Low,Close,Volume,Adj Close
2015-02-26,904.59,904.59,904.59,904.59,000,904.59
2015-02-25,923.03,923.03,923.03,923.03,000,923.03
2015-02-24,937.96,937.96,937.96,937.96,000,937.96
2015-02-23,854.15,854.15,854.15,854.15,000,854.15
2015-02-20,854.15,854.15,854.15,854.15,000,854.15
2015-02-19,856.50,856.50,856.50,856.50,000,856.50
2015-02-18,847.53,847.53,847.53,847.53,000,847.53
2015-02-17,838.61,838.61,838.61,838.61,000,838.61
2015-02-16,859.70,859.70,859.70,859.70,000,859.70
2015-02-13,893.98,893.98,893.98,893.98,000,893.98
2015-02-12,846.48,846.48,846.48,846.48,000,846.48
2015-02-11,793.09,793.09,793.09,793.09,000,793.09
2015-02-10,826.31,826.31,826.31,826.31,000,826.31
2015-02-09,765.22,765.22,765.22,765.22,000,765.22
2015-02-06,803.36,803.36,803.36,803.36,000,803.36
2015-02-05,819.50,819.50,819.50,819.50,000,819.50
2015-02-04,848.04,848.04,848.04,848.04,000,848.04
2015-02-03,840.57,840.57,840.57,840.57,000,840.57
2015-02-02,755.42,755.42,755.42,755.42,000,755.42
2015-01-30,721.93,721.93,721.93,721.93,000,721.93
2015-01-29,733.61,733.61,733.61,733.61,000,733.61
2015-01-28,711.13,711.13,711.13,711.13,000,711.13
2015-01-27,783.53,783.53,783.53,783.53,000,783.53
2015-01-26,813.55,813.55,813.55,813.55,000,813.55
2015-01-23,840.44,840.44,840.44,840.44,000,840.44
2015-01-22,791.80,791.80,791.80,791.80,000,791.80
2015-01-21,782.88,782.88,782.88,782.88,000,782.88
2015-01-20,802.12,802.12,802.12,802.12,000,802.12
2015-01-19,811.78,811.78,811.78,811.78,000,811.78
2015-01-16,790.59,790.59,790.59,790.59,000,790.59
2015-01-15,805.00,805.00,805.00,805.00,000,805.00
2015-01-14,819.55,819.55,819.55,819.55,000,819.55
2015-01-13,835.40,835.40,835.40,835.40,000,835.40
2015-01-12,809.01,809.01,809.01,809.01,000,809.01
2015-01-09,779.56,779.56,779.56,779.56,000,779.56
2015-01-08,761.66,761.66,761.66,761.66,000,761.66
2015-01-07,777.70,777.70,777.70,777.70,000,777.70
2015-01-06,789.20,789.20,789.20,789.20,000,789.20
2015-01-05,789.20,789.20,789.20,789.20,000,789.20
2015-01-02,836.24,836.24,836.24,836.24,000,836.24
2015-01-01,826.18,826.18,826.18,826.18,000,826.18
2014-12-31,826.18,826.18,826.18,826.18,000,826.18
2014-12-30,816.15,816.15,816.15,816.15,000,816.15
2014-12-29,819.81,819.81,819.81,819.81,000,819.81
2014-12-26,853.20,853.20,853.20,853.20,000,853.20
2014-12-25,853.20,853.20,853.20,853.20,000,853.20
2014-12-24,853.20,853.20,853.20,853.20,000,853.20
2014-12-23,853.20,853.20,853.20,853.20,000,853.20
2014-12-22,867.84,867.84,867.84,867.84,000,867.84
2014-12-19,862.40,862.40,862.40,862.40,000,862.40
2014-12-18,874.69,874.69,874.69,874.69,000,874.69
2014-12-17,862.06,862.06,862.06,862.06,000,862.06
2014-12-16,834.24,834.24,834.24,834.24,000,834.24
2014-12-15,836.41,836.41,836.41,836.41,000,836.41
2014-12-12,824.49,824.49,824.49,824.49,000,824.49
2014-12-11,827.98,827.98,827.98,827.98,000,827.98
2014-12-10,893.71,893.71,893.71,893.71,000,893.71
2014-12-09,902.84,902.84,902.84,902.84,000,902.84
2014-12-08,1035.08,1035.08,1035.08,1035.08,000,1035.08
2014-12-05,1032.98,1032.98,1032.98,1032.98,000,1032.98
2014-12-04,991.87,991.87,991.87,991.87,000,991.87
2014-12-03,1008.03,1008.03,1008.03,1008.03,000,1008.03
2014-12-02,991.36,991.36,991.36,991.36,000,991.36
2014-12-01,963.59,963.59,963.59,963.59,000,963.59
2014-11-28,963.19,963.19,963.19,963.19,000,963.19
2014-11-27,950.95,950.95,950.95,950.95,000,950.95
2014-11-26,976.65,976.65,976.65,976.65,000,976.65
2014-11-25,962.05,962.05,962.05,962.05,000,962.05
2014-11-24,990.11,990.11,990.11,990.11,000,990.11
2014-11-21,995.07,995.07,995.07,995.07,000,995.07
2014-11-20,959.85,959.85,959.85,959.85,000,959.85
2014-11-19,954.69,954.69,954.69,954.69,000,954.69
2014-11-18,916.19,916.19,916.19,916.19,000,916.19
2014-11-17,881.76,881.76,881.76,881.76,000,881.76
2014-11-14,890.74,890.74,890.74,890.74,000,890.74
2014-11-13,883.54,883.54,883.54,883.54,000,883.54
2014-11-12,872.31,872.31,872.31,872.31,000,872.31
2014-11-11,892.84,892.84,892.84,892.84,000,892.84
2014-11-10,900.70,900.70,900.70,900.70,000,900.70
2014-11-07,910.50,910.50,910.50,910.50,000,910.50
2014-11-06,962.31,962.31,962.31,962.31,000,962.31
2014-11-05,957.70,957.70,957.70,957.70,000,957.70
2014-11-04,942.70,942.70,942.70,942.70,000,942.70
2014-11-03,939.25,939.25,939.25,939.25,000,939.25
2014-10-31,915.83,915.83,915.83,915.83,000,915.83
2014-10-30,906.97,906.97,906.97,906.97,000,906.97
2014-10-29,933.11,933.11,933.11,933.11,000,933.11
2014-10-28,958.69,958.69,958.69,958.69,000,958.69
2014-10-27,958.69,958.69,958.69,958.69,000,958.69
2014-10-24,991.33,991.33,991.33,991.33,000,991.33
2014-10-23,990.04,990.04,990.04,990.04,000,990.04
2014-10-22,993.73,993.73,993.73,993.73,000,993.73
2014-10-21,995.10,995.10,995.10,995.10,000,995.10
2014-10-20,941.93,941.93,941.93,941.93,000,941.93
2014-10-17,931.81,931.81,931.81,931.81,000,931.81
2014-10-16,869.16,869.16,869.16,869.16,000,869.16
2014-10-15,888.93,888.93,888.93,888.93,000,888.93
2014-10-14,948.21,948.21,948.21,948.21,000,948.21
2014-10-13,1005.55,1005.55,1005.55,1005.55,000,1005.55
2014-10-10,1004.88,1004.88,1004.88,1004.88,000,1004.88
2014-10-09,1025.05,1025.05,1025.05,1025.05,000,1025.05
2014-10-08,1007.94,1007.94,1007.94,1007.94,000,1007.94
2014-10-07,1012.05,1012.05,1012.05,1012.05,000,1012.05
2014-10-06,1035.43,1035.43,1035.43,1035.43,000,1035.43
2014-10-03,1049.73,1049.73,1049.73,1049.73,000,1049.73
2014-10-02,1058.65,1058.65,1058.65,1058.65,000,1058.65
2014-10-01,1058.78,1058.78,1058.78,1058.78,000,1058.78
2014-09-30,1061.58,1061.58,1061.58,1061.58,000,1061.58
2014-09-29,1053.32,1053.32,1053.32,1053.32,000,1053.32
2014-09-26,1086.50,1086.50,1086.50,1086.50,000,1086.50
2014-09-25,1087.98,1087.98,1087.98,1087.98,000,1087.98
2014-09-24,1105.99,1105.99,1105.99,1105.99,000,1105.99
2014-09-23,1103.70,1103.70,1103.70,1103.70,000,1103.70
2014-09-22,1133.06,1133.06,1133.06,1133.06,000,1133.06
2014-09-19,1148.64,1148.64,1148.64,1148.64,000,1148.64
2014-09-18,1107.98,1107.98,1107.98,1107.98,000,1107.98
2014-09-17,1131.84,1131.84,1131.84,1131.84,000,1131.84
2014-09-16,1123.07,1123.07,1123.07,1123.07,000,1123.07
2014-09-15,1155.95,1155.95,1155.95,1155.95,000,1155.95
2014-09-12,1161.28,1161.28,1161.28,1161.28,000,1161.28
2014-09-11,1166.60,1166.60,1166.60,1166.60,000,1166.60
2014-09-10,1170.85,1170.85,1170.85,1170.85,000,1170.85
2014-09-09,1165.38,1165.38,1165.38,1165.38,000,1165.38
2014-09-08,1196.63,1196.63,1196.63,1196.63,000,1196.63
2014-09-05,1197.11,1197.11,1197.11,1197.11,000,1197.11
2014-09-04,1181.41,1181.41,1181.41,1181.41,000,1181.41
2014-09-03,1159.13,1159.13,1159.13,1159.13,000,1159.13
2014-09-02,1146.21,1146.21,1146.21,1146.21,000,1146.21
2014-09-01,1159.20,1159.20,1159.20,1159.20,000,1159.20
2014-08-29,1161.81,1161.81,1161.81,1161.81,000,1161.81
2014-08-28,1167.51,1167.51,1167.51,1167.51,000,1167.51
2014-08-27,1177.49,1177.49,1177.49,1177.49,000,1177.49
2014-08-26,1177.35,1177.35,1177.35,1177.35,000,1177.35
2014-08-25,1159.25,1159.25,1159.25,1159.25,000,1159.25
2014-08-22,1156.37,1156.37,1156.37,1156.37,000,1156.37
2014-08-21,1143.84,1143.84,1143.84,1143.84,000,1143.84
2014-08-20,1119.97,1119.97,1119.97,1119.97,000,1119.97
2014-08-19,1108.98,1108.98,1108.98,1108.98,000,1108.98
2014-08-18,1086.50,1086.50,1086.50,1086.50,000,1086.50
2014-08-15,1114.52,1114.52,1114.52,1114.52,000,1114.52
2014-08-14,1114.52,1114.52,1114.52,1114.52,000,1114.52
2014-08-13,1107.33,1107.33,1107.33,1107.33,000,1107.33
2014-08-12,1090.60,1090.60,1090.60,1090.60,000,1090.60
2014-08-11,1065.32,1065.32,1065.32,1065.32,000,1065.32
2014-08-08,1047.21,1047.21,1047.21,1047.21,000,1047.21
2014-08-07,1090.82,1090.82,1090.82,1090.82,000,1090.82
2014-08-06,1093.51,1093.51,1093.51,1093.51,000,1093.51
2014-08-05,1123.39,1123.39,1123.39,1123.39,000,1123.39
2014-08-04,1156.06,1156.06,1156.06,1156.06,000,1156.06
2014-08-01,1162.89,1162.89,1162.89,1162.89,000,1162.89
2014-07-31,1169.01,1169.01,1169.01,1169.01,000,1169.01
2014-07-30,1194.78,1194.78,1194.78,1194.78,000,1194.78
2014-07-29,1195.96,1195.96,1195.96,1195.96,000,1195.96
2014-07-28,1213.31,1213.31,1213.31,1213.31,000,1213.31
2014-07-25,1214.62,1214.62,1214.62,1214.62,000,1214.62
2014-07-24,1176.13,1176.13,1176.13,1176.13,000,1176.13
2014-07-23,1152.32,1152.32,1152.32,1152.32,000,1152.32
2014-07-22,1150.17,1150.17,1150.17,1150.17,000,1150.17
2014-07-21,1149.00,1149.00,1149.00,1149.00,000,1149.00
