AthensIndex,BrusselsStockExch,GermanyDAX,HangSeng,JakartaIndex,LondonFTSE,MexicoIndex,NewZealandSE,OsakaStockEx,SaoPaoloIndex,Sensex,SeoulComposite,ShanghaiComposite,SwissMarket,TaiwanWeighted,TelAvivSE,TorontoIndex,ViennaIndex
797.52,3802.379883,11512.110352,25398.849609,25398.849609,6655.0,44836.328125,5901.299805,20683.949219,49807.0,28370.839844,2065.070068,4123.92,9381.599609,8791.120117,1468.130005,14265.400391,2524.310059
797.52,3806.090088,11520.669922,25282.619141,25282.619141,6667.299805,44670.421875,5927.75,20593.669922,50916.0,28504.929688,2064.72998,4026.04,9289.299805,8918.700195,1465.800049,14307.099609,2521.610107
797.52,3822.620117,11604.799805,25536.429688,25536.429688,6769.100098,45401.230469,5876.910156,20841.970703,51474.0,28182.140625,2083.620117,4017.68,9385.5,9005.959961,1474.640015,14376.200195,2541.51001
797.52,3836.469971,11716.759766,25162.779297,25162.779297,6796.5,45344.898438,5824.149902,20600.119141,53070.0,28446.119141,2087.889893,3823.18,9459.0,9042.209961,1458.800049,14731.099609,2532.139893
797.52,3787.600098,11539.660156,25055.759766,25055.759766,6753.799805,45107.128906,5805.950195,20463.330078,52902.0,28198.289062,2072.909912,3805.7,9319.299805,9054.200195,1449.01001,14662.299805,2498.449951
797.52,3756.25,11516.900391,25120.910156,25120.910156,6753.799805,45136.691406,5750.879883,20385.330078,53239.0,27932.900391,2059.22998,3924.49,9311.099609,9041.759766,1446.569946,14599.400391,2506.719971
797.52,3748.870117,11484.379883,25224.009766,25224.009766,6738.0,44990.390625,5706.700195,20089.769531,53119.0,27961.189453,2061.52002,3970.39,9250.099609,9033.919922,1445.77002,14533.200195,2513.350098
797.52,3503.100098,10747.299805,23516.560547,23516.560547,6490.700195,44497.738281,5767.700195,19737.640625,51782.0,27687.720703,2016.209961,3507.19,8852.400391,8976.110352,1413.089966,14412.099609,2360.040039
797.52,3480.860107,10676.780273,24975.310547,24975.310547,6432.200195,45017.75,5803.169922,20376.589844,52344.0,28171.689453,2040.290039,3727.12,8764.099609,9250.160156,1427.619995,14624.5,2330.840088
797.52,3536.870117,10890.629883,25236.279297,25236.279297,6535.700195,44794.011719,5776.620117,20112.119141,52149.0,28208.759766,2053.929932,3775.91,8862.799805,9255.959961,1424.959961,14593.599609,2374.060059
